"homeTeam.href","homeTeam.text","awayTeam.href","awayTeam.text","homeScore","awayScore"
"http://www.basketball-reference.com/teams/PHO/2015.html","Phoenix Suns","http://www.basketball-reference.com/teams/MIA/2015.html","Miami Heat","98","115"
"http://www.basketball-reference.com/teams/LAC/2015.html","Los Angeles Clippers","http://www.basketball-reference.com/teams/MIN/2015.html","Minnesota Timberwolves","110","105"
"http://www.basketball-reference.com/teams/TOR/2015.html","Toronto Raptors","http://www.basketball-reference.com/teams/PHI/2015.html","Philadelphia 76ers","114","103"
"http://www.basketball-reference.com/teams/HOU/2015.html","Houston Rockets","http://www.basketball-reference.com/teams/ATL/2015.html","Atlanta Hawks","96","104"
"http://www.basketball-reference.com/teams/WAS/2015.html","Washington Wizards","http://www.basketball-reference.com/teams/CHI/2015.html","Chicago Bulls","92","97"
"http://www.basketball-reference.com/teams/LAL/2015.html","Los Angeles Lakers","http://www.basketball-reference.com/teams/CHO/2015.html","Charlotte Hornets","103","104"
"http://www.basketball-reference.com/teams/BOS/2015.html","Boston Celtics","http://www.basketball-reference.com/teams/CLE/2015.html","Cleveland Cavaliers","79","110"
"http://www.basketball-reference.com/teams/MIL/2015.html","Milwaukee Bucks","http://www.basketball-reference.com/teams/DEN/2015.html","Denver Nuggets","95","106"
"http://www.basketball-reference.com/teams/UTA/2015.html","Utah Jazz","http://www.basketball-reference.com/teams/MEM/2015.html","Memphis Grizzlies","93","82"
"http://www.basketball-reference.com/teams/SAC/2015.html","Sacramento Kings","http://www.basketball-reference.com/teams/NYK/2015.html","New York Knicks","124","86"
"http://www.basketball-reference.com/teams/UTA/2015.html","Utah Jazz","http://www.basketball-reference.com/teams/BOS/2015.html","Boston Celtics","84","85"
"http://www.basketball-reference.com/teams/CHO/2015.html","Charlotte Hornets","http://www.basketball-reference.com/teams/BRK/2015.html","Brooklyn Nets","115","91"
"http://www.basketball-reference.com/teams/MIL/2015.html","Milwaukee Bucks","http://www.basketball-reference.com/teams/GSW/2015.html","Golden State Warriors","93","102"
"http://www.basketball-reference.com/teams/MEM/2015.html","Memphis Grizzlies","http://www.basketball-reference.com/teams/HOU/2015.html","Houston Rockets","102","100"
"http://www.basketball-reference.com/teams/NYK/2015.html","New York Knicks","http://www.basketball-reference.com/teams/IND/2015.html","Indiana Pacers","82","105"
"http://www.basketball-reference.com/teams/POR/2015.html","Portland Trail Blazers","http://www.basketball-reference.com/teams/LAC/2015.html","Los Angeles Clippers","98","93"
"http://www.basketball-reference.com/teams/LAL/2015.html","Los Angeles Lakers","http://www.basketball-reference.com/teams/MIA/2015.html","Miami Heat","94","100"
"http://www.basketball-reference.com/teams/DEN/2015.html","Denver Nuggets","http://www.basketball-reference.com/teams/MIN/2015.html","Minnesota Timberwolves","100","85"
"http://www.basketball-reference.com/teams/DET/2015.html","Detroit Pistons","http://www.basketball-reference.com/teams/NOP/2015.html","New Orleans Pelicans","85","88"
"http://www.basketball-reference.com/teams/PHI/2015.html","Philadelphia 76ers","http://www.basketball-reference.com/teams/OKC/2015.html","Oklahoma City Thunder","118","123"
"http://www.basketball-reference.com/teams/PHO/2015.html","Phoenix Suns","http://www.basketball-reference.com/teams/ORL/2015.html","Orlando Magic","105","100"
"http://www.basketball-reference.com/teams/SAC/2015.html","Sacramento Kings","http://www.basketball-reference.com/teams/SAS/2015.html","San Antonio Spurs","85","112"
"http://www.basketball-reference.com/teams/CLE/2015.html","Cleveland Cavaliers","http://www.basketball-reference.com/teams/TOR/2015.html","Toronto Raptors","120","112"
"http://www.basketball-reference.com/teams/OKC/2015.html","Oklahoma City Thunder","http://www.basketball-reference.com/teams/CHI/2015.html","Chicago Bulls","105","108"
